Date,Time,Event,Details
"2025-06-25","14:18:29","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-25","14:18:29","[CSV_READ_OK]","Successfully loaded 3820 rows from SequencingMetrics.csv"
"2025-06-25","14:35:08","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-25","14:35:08","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-25","14:35:08","[CSV_READ_OK]","Successfully loaded 3820 rows from SequencingMetrics.csv"
"2025-06-25","14:42:25","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-25","14:42:25","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-25","14:42:25","[CSV_READ_OK]","Successfully loaded 3820 rows from SequencingMetrics.csv"
"2025-06-26","09:50:53","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-26","09:50:53","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-26","09:50:53","[CSV_READ_OK]","Successfully loaded 3820 rows from SequencingMetrics.csv"
"2025-06-26","10:08:42","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-26","10:08:42","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-26","10:08:42","[CSV_READ_OK]","Successfully loaded 3821 rows from SequencingMetrics.csv"
"2025-06-26","13:50:46","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-26","13:50:46","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-26","13:50:46","[CSV_READ_OK]","Successfully loaded 3822 rows from SequencingMetrics.csv"
"2025-06-26","14:11:31","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-26","14:11:31","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-26","14:11:31","[CSV_READ_OK]","Successfully loaded 3822 rows from SequencingMetrics.csv"
"2025-06-26","15:46:25","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-26","15:46:25","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-26","15:46:25","[CSV_READ_OK]","Successfully loaded 3822 rows from SequencingMetrics.csv"
"2025-06-27","13:31:17","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-27","13:31:17","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-27","13:31:17","[CSV_READ_OK]","Successfully loaded 3822 rows from SequencingMetrics.csv"
"2025-06-29","22:09:02","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-29","22:09:02","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-29","22:09:02","[CSV_READ_OK]","Successfully loaded 3827 rows from SequencingMetrics.csv"
"2025-06-29","22:36:42","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-29","22:36:42","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-29","22:36:42","[CSV_READ_OK]","Successfully loaded 3829 rows from SequencingMetrics.csv"
"2025-06-30","08:19:04","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-30","08:19:04","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-30","08:19:04","[CSV_READ_OK]","Successfully loaded 3829 rows from SequencingMetrics.csv"
"2025-06-30","09:52:29","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-30","09:52:29","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-30","09:52:29","[CSV_READ_OK]","Successfully loaded 3829 rows from SequencingMetrics.csv"
"2025-06-30","12:48:41","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-30","12:48:41","[CSV_READ_START]","Reading file: /srv/shiny-server/.InputDatabase/SequencingMetrics.csv"
"2025-06-30","12:48:41","[CSV_READ_OK]","Successfully loaded 3830 rows from SequencingMetrics.csv"
"2025-06-30","12:57:57","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-30","12:57:57","[CSV_READ_START]","Reading file: /Users/lawalr/Library/CloudStorage/Box-Box/GT-Analyses/Rshiny/SequencingMetrics.csv"
"2025-06-30","12:57:57","[CSV_READ_OK]","Successfully loaded 3744 rows from SequencingMetrics.csv"
"2025-06-30","12:59:25","[REFRESH_START]","Triggered manual refresh of SequencingMetrics.csv"
"2025-06-30","12:59:25","[CSV_READ_START]","Reading file: /Users/lawalr/Library/CloudStorage/Box-Box/GT-Analyses/Rshiny/SequencingMetrics.csv"
"2025-06-30","12:59:25","[CSV_READ_OK]","Successfully loaded 3744 rows from SequencingMetrics.csv"
"2025-06-30","13:01:32","[REFRESH_START]","Triggered manual refresh from DuckDB sequencing_metrics table"
"2025-06-30","13:01:32","[DB_QUERY_OK]","Loaded 3593 rows from sequencing_metrics"
"2025-06-30","13:03:13","[REFRESH_START]","Triggered manual refresh from DuckDB sequencing_metrics table"
"2025-06-30","13:03:13","[DB_QUERY_OK]","Loaded 3593 rows from sequencing_metrics"
"2025-06-30","13:03:32","[REFRESH_START]","Triggered manual refresh from DuckDB sequencing_metrics table"
"2025-06-30","13:03:32","[DB_QUERY_OK]","Loaded 3593 rows from sequencing_metrics"
"2025-06-30","13:09:25","[REFRESH_START]","Triggered manual refresh from DuckDB sequencing_metrics table"
"2025-06-30","13:09:25","[DB_QUERY_OK]","Loaded 3593 rows from sequencing_metrics"
